ACC_ID		ACC_NAME		DATE_TIME
123432		Irosh		08 November 2023 12:34:22 PM
123433		shalom		08 November 2023 12:34:30 PM
152433		Somey		08 November 2023 12:34:40 PM
123432		Irosh		08 November 2023 12:34:51 PM
152433		Somey		08 November 2023 03:03:51 PM
123432		Irosh		08 November 2023 09:28:07 PM
123432		Irosh		08 November 2023 09:30:51 PM
123432		Irosh		08 November 2023 09:32:39 PM
123432		Irosh		09 November 2023 01:12:17 AM
123432		Irosh		09 novembre 2023 02:04:28 AM
123432		Irosh		09 November 2023 03:34:48 AM
123433		shalom		09 November 2023 03:40:17 AM
123433		shalom		09 November 2023 03:41:58 AM
123433		shalom		09 November 2023 03:50:16 AM
123433		shalom		09 November 2023 03:51:31 AM
123433		shalom		09 November 2023 03:52:35 AM
123433		shalom		09 November 2023 03:55:43 AM
152433		Somey		09 November 2023 03:58:12 AM
123432		Irosh		09 November 2023 04:00:35 AM
123433		shalom		09 November 2023 04:00:52 AM
152433		Somey		09 novembre 2023 04:03:22 AM
152433		Somey		09 novembre 2023 04:04:33 AM
123432		Irosh		09 November 2023 05:32:36 AM
123432		Irosh		09 November 2023 05:34:00 AM
123432		Irosh		09 November 2023 05:39:06 AM
152433		Somey		09 November 2023 05:55:15 AM
123432		Irosh		09 November 2023 06:06:08 AM
123432		Irosh		09 November 2023 06:23:08 AM
123432		Irosh		09 novembre 2023 06:23:26 AM
152433		Somey		09 November 2023 06:55:29 AM
